ASCT+B-FTU Crosswalk Table of Left Lung's Left Superior Lobar Bronchus,,,,,,,,
,,,,,,,,
Author Name(s):,Fauzan Isnaini,,,,,,,
Image Source:,"OpenStax, L. L. &amp;. (n.d.). Anatomy and physiology ii. Lumen. Retrieved September 16, 2021, from https://courses.lumenlearning.com/ap2/chapter/anatomy-of-the-lymphatic-and-immune-systems/. ",,,,,,,
Date:,9/15/2021,,,,,,,
Version Number:,1,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
svg_id,label,OntologyID,representation_of,exist_asctb,type,REF,REF/DOI,REF/NOTES
ciliated_cell_of_the_bronchus_20,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_21,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_22,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_23,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_24,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_25,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_26,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_27,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_28,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_29,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_30,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_31,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_32,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_33,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_34,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_35,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_36,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_37,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_38,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_39,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_40,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_41,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_42,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_43,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
ciliated_cell_of_the_bronchus_44,ciliated cell of the bronchus,CL:0002332,,1,CT,"Rhianna E. Lee, Sean M. Miller, Scott H. Randell, Adult Pulmonary Epithelial Stem Cells and Their Niches, Editor(s): Rui L. Reis, Encyclopedia of Tissue Engineering and Regenerative Medicine, Academic Press, 2019, Pages 319-336, ISBN 9780128137000, https://doi.org/10.1016/B978-0-12-801238-3.65475-2. https://www.sciencedirect.com/science/article/pii/B9780128012383654752)",,
